timestamp,speaker,words,tags,
[00:00:00],Maria Cotera,This is Marco S-V,,
,Maria Cotera,Okay. Please count to ten.,,
,Anna Nieto-Gomez,"One, two, three, four, five, six, seven, eight, nine, ten.",,
,MC,And again.,,
,ANG,"One, two, three, four, five, six, seven, eight, nine ten.",,
,,,,
,Part 1:,,,
,I,Okay. Please count to ten.,,
,R,"One, two, three, four, five, six, seven, eight, nine, ten.",,
,I,And again.,,
,R,"One, two, three, four, five, six, seven, eight, nine ten.",,
,I,Okay. For just...,,
,[break],,,
,R,"...Socialist Party. Ah, I didn’t know, but they asked me to go speak, right? And it was at the Social Party in Denver. And I was pretty, um...I didn’t know it at the time, but I was pretty wounded, you know. I didn’t know what was going on, I didn’t know why the things happened that happened. And like they had even threatened, the guys and the teachers have even threatened my son. I mean...I...I was, ah, in...I was in shock. Kind of like in bomb shock. How do they call it?",socialist,
,I,Hm. Shell shocked.,,
,R,Shell shocked.,,
,I,Um-hum.,,
,R,"So they asked me to go speak. I said, “Okay, I’ll go speak.” And then I’m speaking, you know. And I don’t know what happened, but there was a big fight. And I don’t know if some guy...I think...I remember some guy saying something, and then another guy saying something. And then there was this (larujo 1:44) back and forth. And so then they were trying to get out of there. And there was like, you know, these guys, ah...ah, knights in shining arm—trying to protect me and...and...and these other guys. Then I go, I don’t even know what...“Why are you fighting?” you know. And then this smart guy says, “We better get you out of here and get you home.” I go, “That’s a good idea. Because I don’t know, I’ve already been in a buzz, and I have no idea what this buzz is all...I totally missed it, you know. If I could ever meet somebody who was out there, I’d like to ask them, “What...what went on?” So then [laughs] they take me home, they put me on a airport, in the airline, and I’m going home, and I go...I...I think I’m not going to speak anymore, because I...I don’t know what’s going on here, you know. My mom’s right. I should get out of here. I should get out of here for the...Oh, and then...So then when I went home, with my mom, she took me home. And my mom did not approve of was I...my involvement. But, you know, when...when shit it’s the fan, my mom was the only one there to, ah, take me home. ",,
,"And, ah, so this lady from the Socialist Party...was it Socialist Party...Because at that point, everybody approached me. And I didn’t know who these people were. Socialist Par—? I knew socialist, but ATM, there was another one...ah, I don’t remember.",,,
,I,April Tenth Movement?,,
,R,A...A...,,
,I,ATM.,,
,R,"ATM was, ah...yeah. I forget.",,
,I,I do too.,,
,R,"Anyway, um, so she kept on calling me and saying, “You need to join the party, we really need you. You know, we’ll support you,” this and that. So I said, “No, you know, I’m not doing anything. I don’t even know what you’re all about. I’ve only read, you know, some things that people have written. But I don’t know what you’re all about. So I ain’t doing it.” And so she kept on...she come in the middle of the night. She started harassing me, and she said, “Don’t you...aren’t...you’re so ungrateful,” you know, “We support you,” this and that. “You know, lady, you call me again, I call the police.” [laughter]. But it really brought out a lot of crazy people out of the woodwork, you know? And...and after my experience there at that conference, I go, “I don’t know what they’re fighting now, but everybody’s fighting about ideology.” Had already been through that ideology thing there, ah, with CASA, and, ah...everybody. And, ah, I said [laughs], “Been there, done that, ain’t going there.”",ideology,
,[break],,,
,N,NG 001004. CMR Anna (? 4:35). ,,
